"";"diputadoId";"nombre";"distrito";"bloqueId";"color";"bloque";"bloqueAbreviado";"periodo";"cluster"
"4451";445;"LANDAU, Jorge Alberto";"Buenos Aires";113;"#ffffff";"Peronista Federal";"Peronista Federal";2005;2
"4462";446;"LARREGUY, Carlos Alberto";"Rio Negro";74;"#1f77b4";"Justicialista";"Justicialista";2005;3
"448";448;"LAURITTO, José Eduardo";"Entre Ríos";56;"#1f77b4";"Frente para la Victoria - PJ";"FPV";2005;3
"4522";452;"LEMME, María Alicia";"San Luis";51;"#ffffff";"Frente del Movimiento Popular";"Frente del Movimiento Popular";2005;2
"453";453;"LEMOS, Silvia";"Mendoza";147;"#d62728";"Unión Cívica Radical";"UCR";2005;4
"4552";455;"LEONELLI, María Silvina";"Córdoba";147;"#d62728";"Unión Cívica Radical";"UCR";2005;1
"4582";458;"LEYBA de MARTI, Beatriz";"Córdoba";147;"#d62728";"Unión Cívica Radical";"UCR";2005;4
"4592";459;"L'HUILLIER, José Guillermo";"San Luis";51;"#ffffff";"Frente del Movimiento Popular";"Frente del Movimiento Popular";2005;1
"4612";461;"LIX KLETT, Roberto Ignacio";"Tucumán";69;"#ffffff";"Fuerza Republicana";"Fuerza Republicana";2005;2
"4622";462;"LLAMBI, Susana Beatriz";"Neuquén";74;"#1f77b4";"Justicialista";"Justicialista";2005;3
"4632";463;"LLANO, Gabriel Joaquín";"Mendoza";30;"#ffffff";"Demócrata de Mendoza";"Demócrata de Mendoza";2005;1
"4711";471;"LOPEZ, Juan Carlos";"Buenos Aires";37;"#ffffff";"Encuentro Popular";"Encuentro Popular";2005;3
"474";474;"LORENZO BOROCOTO, Eduardo";"Cdad.Aut.Bs.As.";10;"#ffffff";"Bloque Unipersonal";"Bloque Unipersonal";2005;3
"4792";479;"LOVAGLIO SARAVIA, Antonio";"Salta";56;"#1f77b4";"Frente para la Victoria - PJ";"FPV";2005;1
"4802";480;"LOZANO, Claudio Raúl";"Cdad.Aut.Bs.As.";35;"#ffffff";"Emancipación y Justicia";"Emancipación y Justicia";2005;2
"4812";481;"LOZANO, Encarnación";"Neuquén";87;"#ffffff";"Movimiento Popular Neuquino";"Movimiento Popular Neuquino";2005;1
"4832";483;"LUGO de GONZALES CABAÑAS, Cecilia";"Corrientes";74;"#1f77b4";"Justicialista";"Justicialista";2005;1
"485";485;"LUSQUIÑOS, Luis Bernardo";"San Luis";51;"#ffffff";"Frente del Movimiento Popular";"Frente del Movimiento Popular";2005;4
"4872";487;"MACALUSE, Eduardo Gabriel";"Buenos Aires";1;"#2ca02c";"A.R.I";"ARI";2005;1
"4882";488;"MACCHI, Carlos Guillermo";"Corrientes";102;"#ffffff";"Partido Nuevo";"Partido Nuevo";2005;2
"489";489;"MACRI, Mauricio";"Cdad.Aut.Bs.As.";118;"#e7ba52";"Propuesta Republicana";"PRO";2005;2
"4902";490;"MAFFEI, Marta Olinda";"Buenos Aires";1;"#2ca02c";"A.R.I";"ARI";2005;1
"4922";492;"MALDONADO, Aída Francisca";"Catamarca";45;"#ffffff";"Frente Cívico Social";"Frente Cívico Social";2005;1
"4942";494;"MANSUR, Nélida Mabel";"Buenos Aires";106;"#ffffff";"Partido Unidad Federalista";"Partido Unidad Federalista";2005;2
"496";496;"MARCO DEL PONT, Mercedes";"Cdad.Aut.Bs.As.";56;"#1f77b4";"Frente para la Victoria - PJ";"FPV";2005;3
"4972";497;"MARCONATO, Gustavo Angel";"Santa Fe";56;"#1f77b4";"Frente para la Victoria - PJ";"FPV";2005;3
"498";498;"MARCONETTO, Aldo Juan";"Chubut";56;"#1f77b4";"Frente para la Victoria - PJ";"FPV";2005;3
"499";499;"MARINO, Adriana del Carmen";"San Juan";62;"#ffffff";"Frente Producción y Trabajo";"Frente Producción y Trabajo";2005;4
"5002";500;"MARINO, Juliana Isabel";"Cdad.Aut.Bs.As.";56;"#1f77b4";"Frente para la Victoria - PJ";"FPV";2005;3
"505";505;"MARTINEZ GARBINO, Emilio";"Entre Ríos";19;"#ffffff";"Concertación Entrerriana";"Concertación Entrerriana";2005;4
"5092";509;"MARTINEZ, Alfredo";"Santa Cruz";147;"#d62728";"Unión Cívica Radical";"UCR";2005;1
"5102";510;"MARTINEZ, Carlos Alberto";"Buenos Aires";74;"#1f77b4";"Justicialista";"Justicialista";2005;3
"5122";512;"MARTINEZ, Julio César";"La Rioja";147;"#d62728";"Unión Cívica Radical";"UCR";2005;2
"5142";514;"MARTINEZ, Silvia Virginia";"Buenos Aires";74;"#1f77b4";"Justicialista";"Justicialista";2005;1
"5162";516;"MARTINI, Hugo";"Cdad.Aut.Bs.As.";118;"#e7ba52";"Propuesta Republicana";"PRO";2005;1
"517";517;"MASSEI, Oscar Ermelindo";"Neuquén";56;"#1f77b4";"Frente para la Victoria - PJ";"FPV";2005;4
"5202";520;"MEDIZA, Heriberto Eloy";"La Pampa";56;"#1f77b4";"Frente para la Victoria - PJ";"FPV";2005;1
"5222";522;"MENDEZ de FERREYRA, Araceli Estela";"Corrientes";56;"#1f77b4";"Frente para la Victoria - PJ";"FPV";2005;3
"5252";525;"MENEM, Eduardo Adrián";"La Rioja";113;"#ffffff";"Peronista Federal";"Peronista Federal";2005;2
"5282";528;"MERINO, Raul Guillermo";"Córdoba";103;"#ffffff";"Partido Nuevo Contra la Corrupción";"Partido Nuevo Contra la Corrupción";2005;3
"5352";535;"MINGUEZ, Juan Jesús";"San Juan";147;"#d62728";"Unión Cívica Radical";"UCR";2005;3
"5362";536;"MIRABILE, José Arnaldo";"San Luis";51;"#ffffff";"Frente del Movimiento Popular";"Frente del Movimiento Popular";2005;1
"539";539;"MOISES, María Carolina";"Jujuy";56;"#1f77b4";"Frente para la Victoria - PJ";"FPV";2005;3
"5422";542;"MOLINARI ROMERO, Luis";"Córdoba";147;"#d62728";"Unión Cívica Radical";"UCR";2005;1
"543";543;"MONAYAR, Ana María Cármen";"Córdoba";56;"#1f77b4";"Frente para la Victoria - PJ";"FPV";2005;1
"5442";544;"MONGELO, José Ricardo";"Chaco";56;"#1f77b4";"Frente para la Victoria - PJ";"FPV";2005;3
"5452";545;"MONTEAGUDO, María Lucrecia";"Buenos Aires";99;"#ffffff";"Partido Intransigente";"Partido Intransigente";2005;1
"5462";546;"MONTENEGRO, Olinda";"Chaco";147;"#d62728";"Unión Cívica Radical";"UCR";2005;1
"5482";548;"MONTI, Lucrecia Etelvina";"Cdad.Aut.Bs.As.";113;"#ffffff";"Peronista Federal";"Peronista Federal";2005;4
"5492";549;"MONTOYA, Fernando Ramón";"Córdoba";147;"#d62728";"Unión Cívica Radical";"UCR";2005;1
"5502";550;"MONTOYA, Jorge Luciano";"Córdoba";56;"#1f77b4";"Frente para la Victoria - PJ";"FPV";2005;1
"5512";551;"MORALES, Nélida Beatriz";"Buenos Aires";51;"#ffffff";"Frente del Movimiento Popular";"Frente del Movimiento Popular";2005;1
"553";553;"MORANDINI, Norma Elena";"Córdoba";103;"#ffffff";"Partido Nuevo Contra la Corrupción";"Partido Nuevo Contra la Corrupción";2005;4
"5562";556;"MOREAU, Leopolo Raúl";"Buenos Aires";147;"#d62728";"Unión Cívica Radical";"UCR";2005;1
"558";558;"MORENO, Carlos Julio";"Buenos Aires";56;"#1f77b4";"Frente para la Victoria - PJ";"FPV";2005;3
"560";560;"MORINI, Pedro Juan";"Santa Fe";147;"#d62728";"Unión Cívica Radical";"UCR";2005;4
"565";565;"MULLER, Mabel Hilda";"Buenos Aires";113;"#ffffff";"Peronista Federal";"Peronista Federal";2005;4
"5662";566;"MUSA, Laura Cristina";"Cdad.Aut.Bs.As.";1;"#2ca02c";"A.R.I";"ARI";2005;1
"5692";569;"NARDUCCI, Alicia Isabel";"Córdoba";74;"#1f77b4";"Justicialista";"Justicialista";2005;1
"5702";570;"NATALE, Alberto Adolfo";"Santa Fe";31;"#ffffff";"Demócrata Progresista";"Demócrata Progresista";2005;1
"5732";573;"NEGRI, Mario Raúl";"Córdoba";147;"#d62728";"Unión Cívica Radical";"UCR";2005;4
"5742";574;"NEMIROVSCI, Osvaldo Mario";"Rio Negro";56;"#1f77b4";"Frente para la Victoria - PJ";"FPV";2005;3
"5752";575;"NERI, Aldo";"Cdad.Aut.Bs.As.";147;"#d62728";"Unión Cívica Radical";"UCR";2005;1
"5772";577;"NIEVA, Alejandro Mario";"Jujuy";147;"#d62728";"Unión Cívica Radical";"UCR";2005;4
"5802";580;"OCAÑA, Maria Graciela";"Buenos Aires";90;"#ffffff";"No Integra Bloque";"No Integra Bloque";2005;2
"581";581;"OLIVA, Cristian Rodolfo";"Santiago del Estero";147;"#d62728";"Unión Cívica Radical";"UCR";2005;4
"5842";584;"OLMOS, Graciela Hortencia";"Santiago del Estero";56;"#1f77b4";"Frente para la Victoria - PJ";"FPV";2005;3
"589";589;"OSCOS, María Ilse";"Neuquén";87;"#ffffff";"Movimiento Popular Neuquino";"Movimiento Popular Neuquino";2005;4
"5902";590;"OSORIO, Marta Lucía";"La Pampa";56;"#1f77b4";"Frente para la Victoria - PJ";"FPV";2005;3
"5922";592;"OSUNA, Blanca Inés";"Entre Ríos";56;"#1f77b4";"Frente para la Victoria - PJ";"FPV";2005;1
"5932";593;"OVIEDO, Alejandra Beatriz";"La Rioja";113;"#ffffff";"Peronista Federal";"Peronista Federal";2005;1
"5952";595;"PALOMO, Nelida Manuela";"Santiago del Estero";74;"#1f77b4";"Justicialista";"Justicialista";2005;1
"5992";599;"PANZONI, Patricia Ester";"Buenos Aires";147;"#d62728";"Unión Cívica Radical";"UCR";2005;4
"603";603;"PAROLA, Carlos";"Santa Fe";90;"#ffffff";"No Integra Bloque";"No Integra Bloque";2005;3
"607";607;"PASTORIZA, Eduardo";"Catamarca";56;"#1f77b4";"Frente para la Victoria - PJ";"FPV";2005;3
"610";610;"PATTI, Luis Abelardo";"Buenos Aires";142;"#ffffff";"Unidad Federalista";"Unidad Federalista";2005;2
"6152";615;"PEREZ MARTINEZ, Claudio Héctor";"La Pampa";147;"#d62728";"Unión Cívica Radical";"UCR";2005;3
